,iata,name,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
0,DCA,"Ronald Reagan Washington National, District of Columbia",District of Columbia,US,38.8521,-77.0377,BOS,27.81,641.97,73.83,2.034590519023132
1,JFK,"John F Kennedy, New York",New York,US,40.6398,-73.7789,BOS,21.14,300.3,34.53,0.9515699664346302
2,MCO,"Orlando, Orlando",Orlando,US,28.4294,-81.309,BOS,17.29,1804.03,207.46,5.717135975572789
3,LGA,"La Guardia, New York",New York,US,40.7772,-73.8726,BOS,15.88,296.86,34.14,0.9408224342333704
4,ORD,"Chicago O'Hare, Chicago",Chicago,US,41.9786,-87.9048,BOS,14.53,1394.37,160.35,4.418889201210337
5,EWR,"Newark Liberty, Newark",Newark,US,40.6925,-74.1687,BOS,13.68,322.52,37.09,1.0221178701146956
6,ATL,"Hartsfield Jackson Atlanta, Atlanta",Atlanta,US,33.6367,-84.4281,BOS,13.29,1522.4,175.08,4.824815225119464
7,PHL,"Philadelphia, Philadelphia",Philadelphia,US,39.8719,-75.2411,BOS,11.43,450.44,51.8,1.4274927385263203
8,CLT,"Charlotte Douglas, Charlotte",Charlotte,US,35.214,-80.9431,BOS,11.01,1171.14,134.68,3.7114811201684335
9,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Fort Lauderdale,US,26.0726,-80.1527,BOS,10.94,1991.09,228.98,6.310179290883338
10,TPA,"Tampa, Tampa",Tampa,US,27.9755,-82.5332,BOS,10.29,1906.62,219.26,6.042317719098089
11,SFO,"San Francisco, San Francisco",San Francisco,US,37.619,-122.375,BOS,10.01,4351.47,500.42,13.790461702960258
12,LAX,"Los Angeles, Los Angeles",Los Angeles,US,33.9425,-118.408,BOS,9.58,4201.84,483.21,13.316192397361068
13,MIA,"Miami, Miami",Miami,US,25.7932,-80.2906,BOS,9.0,2024.97,232.87,6.417379035147186
14,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh/Durham,US,35.8776,-78.7875,BOS,8.39,984.63,113.23,3.1203668490991365
15,DFW,"Dallas Fort Worth, Dallas-Fort Worth",Dallas-Fort Worth,US,32.8968,-97.038,BOS,8.05,2513.05,289.0,7.964196938882368
16,LHR,"London Heathrow, London",London,GB,51.4706,-0.461941,BOS,7.86,5254.42,604.26,16.652061045982904
17,BWI,"Baltimore/Washington  Thurgood Marshall, Baltimore",Baltimore,US,39.1754,-76.6683,BOS,7.15,594.54,68.37,1.884125068205493
18,PBI,"Palm Beach, West Palm Beach",West Palm Beach,US,26.6832,-80.0956,BOS,6.93,1926.52,221.55,6.105425023561898
19,DTW,"Detroit Metropolitan Wayne County, Detroit",Detroit,US,42.2124,-83.3534,BOS,6.86,1017.3,116.99,3.2239840826292325
20,PIT,"Pittsburgh, Pittsburgh",Pittsburgh,US,40.4915,-80.2329,BOS,6.57,798.1,91.78,2.52925257802984
21,RSW,"Southwest Florida, Fort Myers",Fort Myers,US,26.5362,-81.7552,BOS,6.51,2010.64,231.22,6.371908706603395
22,SEA,"Seattle Tacoma, Seattle",Seattle,US,47.449,-122.309,BOS,6.01,4016.03,461.84,12.727282748281771
23,DEN,"Denver, Denver",Denver,US,39.8617,-104.673,BOS,5.85,2822.49,324.59,8.944978146684523
24,MSP,"Minneapolis-St Paul /Wold-Chamberlain, Minneapolis",Minneapolis,US,44.882,-93.2218,BOS,5.73,1808.59,207.99,5.731741596256552
25,SJU,"Luis Munoz Marin, San Juan",San Juan,PR,18.4394,-66.0018,BOS,5.58,2694.64,309.88,8.5396032782729
26,CLE,"Cleveland Hopkins, Cleveland",Cleveland,US,41.4117,-81.8498,BOS,5.43,905.27,104.11,2.869039942238904
27,CVG,"Cincinnati Northern Kentucky, Cincinnati",Cincinnati,US,39.0488,-84.6678,BOS,5.29,1209.94,139.14,3.834388796111047
28,RIC,"Richmond, Richmond",Richmond,US,37.5052,-77.3197,BOS,5.29,762.55,87.69,2.416541278790985
29,ACK,"Nantucket Memorial, Nantucket",Nantucket,US,41.2531,-70.0602,BOS,4.73,146.6,16.86,0.4646240843929298
30,AUS,"Austin Bergstrom, Austin",Austin,US,30.194498,-97.6699,BOS,4.59,2732.75,314.27,8.660581909974262
31,MVY,"Martha's Vineyard, Martha's Vineyard",Martha's Vineyard,US,41.3931,-70.6143,BOS,4.31,112.89,12.98,0.3576999178778309
32,IAH,"George Bush Intercontinental Houston, Houston",Houston,US,29.9844,-95.3414,BOS,4.16,2570.02,295.55,8.144700364313785
33,AUA,"Queen Beatrix, Oranjestad",Oranjestad,AW,12.501399,-70.0152,BOS,4.14,3311.09,380.78,10.493449516912207
34,IAD,"Washington Dulles, District of Columbia",District of Columbia,US,38.9445,-77.4558,BOS,4.04,664.17,76.38,2.104862844954447
35,CMH,"Port Columbus, Columbus",Columbus,US,39.998,-82.8919,BOS,4.0,1030.08,118.46,3.26449401169552
36,PHX,"Phoenix Sky Harbor, Phoenix",Phoenix,US,33.4343,-112.012,BOS,3.72,3701.1,425.63,11.7294157200571
37,YYZ,"Lester B. Pearson, Toronto",Toronto,CA,43.6772,-79.6306,BOS,3.57,717.31,82.49,2.2732408494408527
38,MDW,"Chicago Midway, Chicago",Chicago,US,41.786,-87.7524,BOS,3.53,1384.76,159.25,4.38857564884781
39,IND,"Indianapolis, Indianapolis",Indianapolis,US,39.7173,-86.2944,BOS,3.44,1316.43,151.39,4.171971538330109
40,MSY,"Louis Armstrong New Orleans, New Orleans",New Orleans,US,29.9934,-90.258,BOS,3.14,2200.61,253.07,6.9740460876227015
41,KEF,"Keflavik, Reykjavik",Reykjavik,IS,63.985,-22.6056,BOS,3.14,3883.2,446.57,12.306475525940137
42,TEB,"Teterboro, Teterboro",Teterboro,US,40.8501,-74.0608,BOS,3.14,304.96,35.07,0.966451164867144
43,JAX,"Jacksonville, Jacksonville",Jacksonville,US,30.4941,-81.6879,BOS,3.04,1625.64,186.95,5.151926012886015
44,BUF,"Buffalo Niagara, Buffalo",Buffalo,US,42.9405,-78.7322,BOS,3.0,636.22,73.17,2.0164023876056154
45,RUT,"Rutland - Southern Vermont Regional, Rutland",Rutland,US,43.5294,-72.9496,BOS,3.0,204.4,23.51,0.6478832873118494
46,BNA,"Nashville, Nashville",Nashville,US,36.1245,-86.6782,BOS,2.98,1516.46,174.39,4.805800360455695
47,CHS,"Charleston Air Force Base-, Charleston",Charleston,US,32.8986,-80.0405,BOS,2.89,1317.19,151.48,4.1744517380688615
48,SLC,"Salt Lake City, Salt Lake City",Salt Lake City,US,40.7884,-111.978,BOS,2.89,3387.92,389.61,10.736784669058682
49,RKD,"Knox County Regional, Rockland",Rockland,US,44.0601,-69.0992,BOS,2.86,243.99,28.06,0.7732711629932153
50,YTZ,"Billy Bishop Toronto City Centre, Toronto",Toronto,CA,43.6275,-79.3962,BOS,2.86,697.78,80.24,2.211235855972045
51,SRQ,"Sarasota Bradenton, Sarasota/Bradenton",Sarasota/Bradenton,US,27.3954,-82.5544,BOS,2.75,1963.5,225.8,6.222545566780757
52,LEB,"Lebanon Municipal, Lebanon",Lebanon,US,43.6261,-72.3042,BOS,2.71,175.36,20.17,0.5558403192292642
53,YUL,"Montréal Pierre Elliott Trudeau, Montréal",Montréal,CA,45.4706,-73.7408,BOS,2.71,408.77,47.01,1.2954909968749484
54,BHB,"Hancock County-Bar Harbor, Bar Harbor",Bar Harbor,US,44.45,-68.3615,BOS,2.65,315.62,36.3,1.0003472279634251
55,ROC,"Greater Rochester, Rochester",Rochester,US,43.1189,-77.6724,BOS,2.59,551.78,63.45,1.7485408158203677
56,PUJ,"Punta Cana, Punta Cana",Punta Cana,DO,18.567398,-68.3634,BOS,2.57,2650.31,304.79,8.39933420415902
57,LAS,"McCarran, Las Vegas",Las Vegas,US,36.0801,-115.152,BOS,2.45,3831.18,440.59,12.14168003218748
58,SAN,"San Diego, San Diego",San Diego,US,32.7336,-117.19,BOS,2.45,4164.18,478.88,13.196867232152206
59,NAS,"Lynden Pindling, Nassau",Nassau,BS,25.039,-77.4662,BOS,2.43,2011.3,231.3,6.374113328593396
60,HPN,"Westchester County, White Plains",White Plains,US,41.067,-73.7076,BOS,2.29,266.84,30.69,0.8457481109145324
61,CUN,"Cancún, Cancún",Cancún,MX,21.0365,-86.8771,BOS,2.29,2792.12,321.09,8.848525934621934
62,STL,"Lambert St Louis, Saint Louis",Saint Louis,US,38.7487,-90.37,BOS,2.22,1684.15,193.68,5.337389837794937
63,PVC,"Provincetown Municipal, Provincetown",Provincetown,US,42.0719,-70.2214,BOS,2.14,72.8,8.37,0.2306585757039633
64,MCI,"Kansas City, Kansas City",Kansas City,US,39.2976,-94.7139,BOS,2.02,2021.42,232.46,6.406080347448426
65,AUG,"Augusta State, Augusta",Augusta,US,44.3206,-69.7973,BOS,2.0,238.4,27.42,0.7556341870731991
